open_datetime,close_datetime,close,regime,current_extreme
2023-04-14T00:00:00+00:00,2023-04-14T23:59:59.999000+00:00,30453.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-15T00:00:00+00:00,2023-04-15T23:59:59.999000+00:00,30280.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-16T00:00:00+00:00,2023-04-16T23:59:59.999000+00:00,30286.6,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-17T00:00:00+00:00,2023-04-17T23:59:59.999000+00:00,29420.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-18T00:00:00+00:00,2023-04-18T23:59:59.999000+00:00,30365.8,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-19T00:00:00+00:00,2023-04-19T23:59:59.999000+00:00,28795.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-20T00:00:00+00:00,2023-04-20T23:59:59.999000+00:00,28229.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-21T00:00:00+00:00,2023-04-21T23:59:59.999000+00:00,27252.5,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-22T00:00:00+00:00,2023-04-22T23:59:59.999000+00:00,27807.2,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-23T00:00:00+00:00,2023-04-23T23:59:59.999000+00:00,27576.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-24T00:00:00+00:00,2023-04-24T23:59:59.999000+00:00,27497.5,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-25T00:00:00+00:00,2023-04-25T23:59:59.999000+00:00,28286.7,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-26T00:00:00+00:00,2023-04-26T23:59:59.999000+00:00,28395.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-27T00:00:00+00:00,2023-04-27T23:59:59.999000+00:00,29459.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-28T00:00:00+00:00,2023-04-28T23:59:59.999000+00:00,29300.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-29T00:00:00+00:00,2023-04-29T23:59:59.999000+00:00,29212.7,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-30T00:00:00+00:00,2023-04-30T23:59:59.999000+00:00,29223.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-01T00:00:00+00:00,2023-05-01T23:59:59.999000+00:00,28054.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-02T00:00:00+00:00,2023-05-02T23:59:59.999000+00:00,28656.5,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-03T00:00:00+00:00,2023-05-03T23:59:59.999000+00:00,29018.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-04T00:00:00+00:00,2023-05-04T23:59:59.999000+00:00,28826.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-05T00:00:00+00:00,2023-05-05T23:59:59.999000+00:00,29491.5,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-06T00:00:00+00:00,2023-05-06T23:59:59.999000+00:00,28837.8,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-07T00:00:00+00:00,2023-05-07T23:59:59.999000+00:00,28419.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-08T00:00:00+00:00,2023-05-08T23:59:59.999000+00:00,27659.8,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-09T00:00:00+00:00,2023-05-09T23:59:59.999000+00:00,27610.2,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-10T00:00:00+00:00,2023-05-10T23:59:59.999000+00:00,27582.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-11T00:00:00+00:00,2023-05-11T23:59:59.999000+00:00,26956.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-12T00:00:00+00:00,2023-05-12T23:59:59.999000+00:00,26785.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-13T00:00:00+00:00,2023-05-13T23:59:59.999000+00:00,26762.7,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-14T00:00:00+00:00,2023-05-14T23:59:59.999000+00:00,26901.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-15T00:00:00+00:00,2023-05-15T23:59:59.999000+00:00,27152.5,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-16T00:00:00+00:00,2023-05-16T23:59:59.999000+00:00,27024.8,bull,2021-11-10T00:00:00+00:00|69198.7
2023-05-17T00:00:00+00:00,2023-05-17T23:59:59.999000+00:00,27395.8,bull,2021-11-10T00:00:00+00:00|69198.7
